Timestamp,Price
2021-12-30 00:00:00,46691.446803295265
1,46470.55927083189
2,46356.20949086356
3,46192.573753364675
4,46216.82966347089
5,46342.72483978353
6,46315.811659657855
7,46415.55409664612
8,46371.975535598875
9,46094.37159295022
10,46264.748979028336
11,46383.58646232522
12,46399.88808263417
13,46586.62649418834
14,46436.478047258344
15,46601.899751062134
16,46681.04238255898
17,46741.94505679645
18,46621.053522541515
19,46426.86759088063
20,46447.95390447665
21,46760.640940382465
22,46773.24686923046
23,47485.11823417942
24,46915.42515088827
25,47280.07703018613
26,46746.81894059758
27,47029.20516936224
28,47451.30873030918
29,46772.26823800799
30,46856.28949000181
31,46649.33212626233
32,46418.4389574131
33,46416.78211195776
34,46704.544417154706
35,46815.13073606375
36,46982.75557981251
37,46913.31417115691
38,46863.463904777636
39,47549.57325609144
40,47146.609255431045
41,47084.86365555982
42,47073.00191076776
43,47310.63880312494
44,47520.81230349726
45,47229.3028444132
46,47147.1998476677
47,47086.16420610298
48,47212.93099314429
49,47367.196311307176
50,47375.29399737763
51,47115.90084217817
52,47338.42668477115
53,47461.68023753103
54,47349.16431950885
55,46963.20838955344
56,47360.73242622659
57,47030.64109208772
58,47420.807515568966
59,46891.3209280899
60,47375.689708549275
61,47138.60103562362
62,47080.12993275064
63,47050.015513281345
64,47450.73216999471
65,47329.58705332822
66,47653.21670623902
67,46931.166717921435
68,47487.46611456786
69,47770.17898804355
70,47136.53245149694
71,47323.61551156657
72,47890.87464973205
73,47555.82334209796
74,47706.739939387866
75,48066.10753729303
76,47954.54760858763
77,48162.67168851664
78,48045.03657939075
79,48651.13728868474
80,48182.5547037763
81,47398.304754518766
82,47401.754159243304
83,47703.827446481926
84,47541.19074890394
85,47933.84387444326
86,47781.514772831135
87,47668.06600930587
88,48121.70034478938
89,48179.78563348888
90,47787.81924038336
91,47599.29738295424
92,47734.84409752166
93,47931.513852175965
94,48078.70775604558
95,47616.949390048496
96,48591.27955293328
97,48215.08215729809
98,48242.04360249398
99,47939.31620847246
100,47809.280598805875
101,47849.619909334884
102,47798.13895461652
103,48478.1360129738
104,48294.5962124018
105,47623.44753056326
106,48556.21504262062
107,47577.42706866344
108,47803.59279843833
109,48264.78310794819
110,48407.33691085232
111,48052.9216060833
112,48014.16760515594
113,47861.65530994081
114,47703.866298940506
115,48249.57659414929
116,47734.72454502163
117,48176.18653336371
118,48513.79184917653
119,48106.2035803983
120,47751.80868798233
121,48409.951794935725
122,48469.950855377785
123,48252.003031256005
124,48473.49063920683
125,47870.4902431266
126,47769.69096228648
127,48514.59232761683
128,48889.41445778221
129,48396.92203643206
130,48386.53457000228
131,48101.398664550936
132,47968.51613608065
133,48644.69688529658
134,48139.75793388986
135,48384.35022467768
136,47875.06480463939
137,47705.31424217864
138,47730.4580386174
139,47729.83325729264
140,48219.86173118731
141,47827.27387924957
142,48026.92010577598
143,48613.3117671483
144,48882.76538207434
145,47916.951600541826
146,48184.003093278276
147,48337.66211941017
148,48704.932005827424
149,47808.181107796794
150,48269.12214909972
151,47687.91129654419
152,47733.23963433652
153,47821.57925573095
154,48039.34452398661
155,47493.481254503306
156,47803.460714529334
157,48123.507490242366
158,47958.03433310802
159,47836.83356282173
160,48464.00740594624
161,48231.69920352086
162,48710.118750084715
163,48045.820650979644
164,48453.34477461497
165,49197.028172272236
166,48135.03044974587
167,48270.85507537956
