,Price
0,47272.15507783805
1,47055.45348160697
2,46894.23292813287
3,46715.3107346521
4,46919.840609678846
5,46896.45277726241
6,46878.72761023351
7,46999.39955346668
8,46937.67025412227
9,46776.48220029927
10,46896.33944745089
11,46936.817323204115
12,47005.7188104381
13,47164.19915039102
14,47014.10684074028
15,47194.301068086235
16,47374.87531359559
17,47313.600300069054
18,47168.45788882266
19,47019.59663713926
20,47033.8734215093
21,47380.56160819244
22,47617.25948241418
23,47984.38034618622
24,47335.67786348321
25,47759.72500572068
26,47286.69888277104
27,47378.33133007873
28,48089.981513709565
29,47365.17278897718
30,47449.16192596976
31,47220.37674494812
32,47021.19222644702
33,47005.85566867284
34,47209.50600624942
35,47250.787196331104
36,47581.67644277582
37,47377.412522169485
38,47391.334309013946
39,48119.69198944813
40,48132.91466662939
41,47599.423493746195
42,47740.34333412294
43,47664.9147190473
44,48125.05381808097
45,47897.20059134974
46,48204.69037926264
47,47691.68954709698
48,47714.63225479656
49,48260.457420660314
50,47679.555755339105
51,48027.069488164154
52,47906.254025839364
53,48121.270032107044
54,48030.79057365145
55,47658.49390960604
56,47758.63641734824
57,47874.25609060143
58,48227.67218496474
59,47441.74181075535
60,48048.08871967826
61,47715.759525744754
62,47685.08510182486
63,47665.642401274985
64,47966.65034634186
65,47927.99754639607
66,48911.39184932723
67,47790.09800187665
68,47870.7457840176
69,48392.294515357644
70,48201.49918874956
71,48251.48513971126
72,48330.25608117427
73,48116.908014773486
74,48497.12821892254
75,48006.2655036307
76,49127.89055069065
77,48374.59797407865
78,48572.76228710569
79,49224.553474716966
80,48475.96993740676
81,47989.14040609246
82,48055.26565470927
83,47845.38012163769
84,48215.71571909005
85,48557.08102869003
86,47872.40863844298
87,48300.14658585043
88,48418.13690555705
89,48860.24883990929
90,48616.89300014893
91,48810.99439743318
92,47823.87596658041
93,48937.127128195956
94,49192.53461099441
95,48199.63821007543
96,48820.17554144407
97,49046.78281198548
98,48829.31009761915
99,48487.41884236615
100,48074.51918433935
101,47959.96572197867
102,49085.664148202166
103,49050.52858214124
104,48128.084989072646
105,48260.343404245345
106,48888.659598552214
107,48471.63393800695
108,48433.679931520644
109,48152.556219078935
110,48811.244404234916
111,48969.349355032595
112,48973.064888095665
113,48595.06095945045
114,48760.970270885344
115,49221.85089357253
116,48184.19846163432
117,48794.523262121
118,48883.50111991638
119,48847.24215282222
120,49331.45009357746
121,48359.34782047342
122,49209.43064151683
123,48180.02732841997
124,48852.61633215579
125,48909.751060298695
126,49242.03186804771
127,49340.18430153048
128,48864.06799845044
129,48170.22084964036
130,49250.186712385526
131,48305.86483869451
132,48829.53370602715
133,49487.4378130666
134,48341.26919605494
135,48995.93691032679
136,48583.481457592185
137,48963.60281184964
138,48875.72067160397
139,49270.44819832263
140,48586.66768047871
141,48191.107828034874
142,48412.0362920829
143,50089.031162987114
144,48418.17509745792
145,49148.24700969008
146,48492.93465714796
147,49108.366022880924
148,48549.71769194483
149,48608.887741091996
150,49174.99345267715
151,49227.52977733319
152,48904.89325315276
153,48705.135333350954
154,49257.3591607311
155,49044.02215344643
156,48290.63725333108
157,48773.95853626417
158,49282.31285093945
159,48372.893621376665
160,49095.555885490445
161,48459.14790398943
162,48770.146308915544
163,48272.82898307773
164,48395.12610153208
165,49826.230624919495
166,49301.65502219891
167,49219.05272596869
