,Price
0,4013.5664222973555
1,4007.613879700114
2,4000.5325363805305
3,3991.686880425015
4,3997.7676105633345
5,4000.747451121995
6,3999.412989989249
7,4004.9654276912693
8,4002.377285290126
9,3987.9945675956365
10,3998.8793574535443
11,4001.5478007970646
12,4004.952314365813
13,4011.1308652123926
14,4005.7536465176563
15,4011.3853799932167
16,4014.4067649427784
17,4012.8416992981715
18,4010.6008281744253
19,4005.9198923067443
20,4006.82918822063
21,4016.803481575347
22,4018.661198999205
23,4028.616473568243
24,4018.043045693061
25,4023.3727915460286
26,4014.540464191992
27,4018.5279225389627
28,4027.414447497913
29,4019.080909016153
30,4016.6633335999963
31,4011.1448662155417
32,4005.45514750124
33,4004.6515925722074
34,4012.881341138701
35,4014.344096629442
36,4023.863092989415
37,4018.955663157734
38,4015.808758253513
39,4029.9122190549433
40,4028.12779878751
41,4027.6723427990314
42,4023.961090456906
43,4024.6783829996284
44,4031.5735289065597
45,4023.8013156381485
46,4033.4355130355057
47,4021.68100267024
48,4026.3681224237916
49,4032.682841177225
50,4030.766527471101
51,4031.9256762903806
52,4034.748590481406
53,4029.1500858005224
54,4030.079528833085
55,4023.354007294768
56,4028.7969949045896
57,4028.149638107103
58,4036.2329046267446
59,4016.340089933416
60,4027.7769197706043
61,4022.599196410927
62,4020.7012525273262
63,4026.3700034764197
64,4036.062919573754
65,4027.0631779386517
66,4044.5038751179754
67,4024.335110601255
68,4029.009538325423
69,4037.0562586797178
70,4032.5327057081577
71,4034.724780535251
72,4043.6395463643253
73,4043.6871423702537
74,4036.7556748299717
75,4038.552322536647
76,4050.9642219800826
77,4040.110259290373
78,4038.6225938855587
79,4051.6451797519444
80,4044.208223806232
81,4030.6990388857603
82,4035.07750596953
83,4034.350980145621
84,4041.7069946953234
85,4040.713524214256
86,4036.542701454252
87,4047.145073653525
88,4041.46287347672
89,4050.806452423143
90,4046.3202553653
91,4042.2466454051196
92,4034.2221107229648
93,4051.5804381006
94,4052.3341872347355
95,4049.6591464723465
96,4049.533432440829
97,4050.9334610965966
98,4042.893342938447
99,4041.748174818891
100,4044.829687765002
101,4037.7591441507875
102,4050.2962870640035
103,4048.846015791118
104,4045.525519587296
105,4039.890762543571
106,4047.8943154272674
107,4040.104822749698
108,4045.2977605407596
109,4047.6588864632845
110,4045.5563927367803
111,4046.5441806474328
112,4049.0317658566114
113,4052.087359688985
114,4049.1952968090295
115,4049.6254953365683
116,4048.1796764853952
117,4052.0187579982157
118,4062.316956224441
119,4054.585278147268
120,4051.76324536376
121,4046.3468361318346
122,4058.4989950510976
123,4045.313236528033
124,4046.5468630881965
125,4048.6412760514736
126,4052.1770721646785
127,4051.6334897563097
128,4057.773407962024
129,4047.265573287725
130,4053.7836320387837
131,4043.537995797425
132,4047.414151364648
133,4054.1887594191667
134,4052.6088806344032
135,4050.1847519891858
136,4047.250711180484
137,4050.7455899203296
138,4054.858825000572
139,4052.02592391299
140,4048.7097200921175
141,4047.5292885059594
142,4055.1238683016777
143,4066.370160047984
144,4056.430166792202
145,4051.047427805161
146,4055.2996625229116
147,4055.2754847264646
148,4052.464516115367
149,4050.0203420178887
150,4048.315456238532
151,4050.240985311055
152,4045.904063812506
153,4042.108290699941
154,4057.440465229797
155,4046.1692647637365
156,4042.1264658484456
157,4046.3943604786155
158,4051.0756519548177
159,4041.81736650331
160,4054.2115804690834
161,4049.2587390411613
162,4059.9102025339125
163,4050.5470367537737
164,4050.662188226914
165,4064.973274840164
166,4050.2762750526786
167,4053.3825605661627
