,Price
0,64904.049235578976
1,64950.46932771792
2,64829.84389979702
3,64585.79070262796
4,64726.22116923083
5,64743.17334250719
6,64826.7829837241
7,64802.09660280119
8,64923.966325405585
9,64854.85249587844
10,64912.44231902112
11,64862.00238206776
12,64826.762732580595
13,64883.500889132134
14,64921.6971527366
15,64986.46831470367
16,64859.41552510435
17,64938.69988330103
18,64999.081515757396
19,64995.43496644284
20,64909.69246265588
21,64962.43288603625
22,64937.51403019783
23,64931.7447027502
24,64917.488030565306
25,64876.96059474164
26,65056.320384492516
27,65028.16966624148
28,64873.53181069571
29,64941.93382283141
30,64977.440581210525
31,65033.62286119488
32,65058.50848314897
33,65001.942830020686
34,64835.2924650119
35,64961.58208893627
36,65006.11065136188
37,65021.341177798415
38,64990.15082713871
39,65052.1472616705
40,65066.22176338112
41,65043.839225332435
42,65087.156043140305
43,65030.92654495545
44,65094.758052656514
45,64961.8801553364
46,65172.342990381134
47,65014.98035483672
48,65104.77669208905
49,65054.322921772866
50,65138.98520355628
51,64944.694348577745
52,65039.68252623233
53,65003.16910238656
54,64996.008661540654
55,65176.1795718192
56,65010.04118615028
57,65006.82539724786
58,65013.743576119334
59,65036.6876363896
60,65059.58597591637
61,65100.20162282583
62,65031.455207656945
63,65082.82860978994
64,65088.94605976072
65,65183.36338024002
66,65211.368482874306
67,65107.00797547312
68,65037.1270675608
69,65195.24263414465
70,65096.8668585497
71,65158.467916129055
72,65191.081708351405
73,65066.98706051704
74,65112.82938785648
75,64991.44633273818
76,65138.1460238243
77,65003.194788604575
78,65078.89747118823
79,65061.55455220748
80,65112.92590137523
81,65060.5203166253
82,64978.080430094094
83,65209.442076904445
84,65106.02470173391
85,65119.987425525425
86,65090.647895486
87,65119.45317151272
88,65090.39868965855
89,65202.42545231165
90,65148.463526690524
91,65194.39760949987
92,65120.73958368382
93,65195.520074282256
94,65129.43179019937
95,65249.81346925557
96,65110.480554098096
97,65217.56095061016
98,65191.09139351682
99,65087.67742385334
100,65181.65722121148
101,65135.62684225617
102,65178.27477983674
103,65179.991421064275
104,65212.61668573943
105,65219.922319532765
106,65085.215314718844
107,65191.59381449206
108,65167.3670132356
109,65174.3741941883
110,65220.78970942238
111,65208.31055492248
112,65181.10197864827
113,65170.336180631515
114,65198.149415549844
115,65258.08073611924
116,65181.1808608185
117,65273.36692206627
118,65238.546844330696
119,65187.961177036064
120,65314.5507572962
121,65230.441254517704
122,65301.80942705905
123,65311.75263813347
124,65154.436906806615
125,65263.449360981074
126,65271.83811508182
127,65262.2290784432
128,65320.09028547603
129,65239.734569255146
130,65212.522370101105
131,65239.74500314906
132,65293.003123981296
133,65271.31965682518
134,65311.20954429397
135,65298.74094445065
136,65317.819464396714
137,65271.6967261582
138,65284.30164289337
139,65349.99962205559
140,65359.40997996416
141,65312.8336088655
142,65327.15842742005
143,65266.05778615576
144,65331.14137320337
145,65439.092468501956
146,65320.793124163625
147,65353.160705472525
148,65278.23249798703
149,65367.48412318021
150,65337.4080375182
151,65383.13404626247
152,65326.316276926605
153,65374.61172865856
154,65366.38721177691
155,65287.361768725634
156,65364.646297254505
157,65381.9166137234
158,65360.71300907743
159,65315.772778816405
160,65336.920059757234
161,65408.47261272955
162,65412.74828720337
163,65435.45978274089
164,65356.468346454974
165,65357.11259109941
166,65460.80110259664
167,65535.88572188079
