,Price
0,43391.15841472517
1,43262.64628383608
2,43109.763964274236
3,42918.79110227708
4,43050.070731892694
5,43114.40385570446
6,43085.593571534926
7,43205.46765711413
8,43149.59108175465
9,42839.07609278979
10,43074.07273768033
11,43131.68296635665
12,43205.184547607576
13,43338.57607267933
14,43222.48486939461
15,43344.0709072466
16,43409.300951679106
17,43375.51204253917
18,43327.13286364948
19,43226.07402482828
20,43245.70522504118
21,43461.04474965403
22,43501.15185024671
23,43716.08076970475
24,43487.80625930115
25,43602.872549961496
26,43412.1874451622
27,43498.2744845457
28,43690.12968591849
29,43510.21315938517
30,43458.01903170948
31,43338.87834666055
32,43216.04043929751
33,43198.69212896971
34,43376.36788814054
35,43407.94797715527
36,43613.45788929141
37,43507.50916997434
38,43439.56921854347
39,43744.05520430401
40,43705.53054912963
41,43695.69750406537
42,43615.573600882424
43,43631.059553587555
44,43779.92197310248
45,43612.12415015016
46,43820.12118951857
47,43566.347755742834
48,43667.54010126934
49,43803.87141678906
50,43762.49925459066
51,43787.52464203639
52,43848.469811613824
53,43727.60116521952
54,43747.66733067796
55,43602.4670082762
56,43719.97812637644
57,43706.002048065115
58,43880.51534016068
59,43451.04037818285
60,43697.95526354196
61,43586.171055157676
62,43545.195487355355
63,43667.5807121642
64,43876.84545606959
65,43682.5459687355
66,44059.08105808456
67,43623.64849072329
68,43724.56682229445
69,43898.291102718475
70,43800.63007433133
71,43847.955767931344
72,44040.42067420561
73,44041.44824587667
74,43891.8016622129
75,43930.5903010962
76,44198.556404622504
77,43964.22530139079
78,43932.10742098935
79,44213.25790954714
80,44052.69810836995
81,43761.0422130372
82,43855.570916657714
83,43839.88562247439
84,43998.697943291976
85,43977.249460326624
86,43887.20368380463
87,44116.10308629515
88,43993.42750003424
89,44195.150246393394
90,44098.29571170111
91,44010.34870622542
92,43837.103402298475
93,44211.860172792534
94,44228.13320331707
95,44170.380539984755
96,44167.66644297342
97,44197.892294014266
98,44024.310551385024
99,43999.58699958069
100,44066.11517449045
101,43913.46601464603
102,44184.13605601378
103,44152.82549441743
104,44081.13780200846
105,43959.48648697763
106,44132.2788053802
107,43964.10792945848
108,44076.22060907426
109,44127.19602313376
110,44081.80433637805
111,44103.13013576389
112,44156.83573648448
113,44222.804331940126
114,44160.36628008299
115,44169.65403041425
116,44138.43959416141
117,44221.3232590508
118,44443.65571224213
119,44276.733021843145
120,44215.806881370736
121,44098.869575876335
122,44361.22802390175
123,44076.55472715399
124,44103.188048189186
125,44148.40527569752
126,44224.7411751009
127,44213.00552895103
128,44345.562996488814
129,44118.70460732746
130,44259.425921904374
131,44038.22825314653
132,44121.91232654271
133,44268.17239991508
134,44234.06368320122
135,44181.72807490325
136,44118.383742581034
137,44193.83625832863
138,44282.63874841995
139,44221.47796722169
140,44149.882945007084
141,44124.39807429381
142,44288.360887967305
143,44531.16216041651
144,44316.56315613289
145,44200.35277276411
146,44292.15618881559
147,44291.63420344701
148,44230.94693239045
149,44178.17855376911
150,44141.37100458345
151,44182.94212148962
152,44089.31036427455
153,44007.36170400064
154,44338.37494545288
155,44095.03590740166
156,44007.75409549141
157,44099.89560046568
158,44200.96211667986
159,44001.08081010942
160,44268.665093869975
161,44161.735963089275
162,44391.69521968918
163,44189.549604329586
164,44192.03566149702
165,44501.0041746933
166,44183.704007661865
167,44250.767008718394
