Unix Timestamp,Date,Close,Volume
1633996800000,2021-10-12 00:00:00,56940,60.4034755517
1634000400000,2021-10-12 01:00:00,57077.78,59.3271224893
1634004000000,2021-10-12 02:00:00,56777.3,75.6142180937
1634007600000,2021-10-12 03:00:00,56710,42.3976253547
1634011200000,2021-10-12 04:00:00,57001.53,16.0958437787
1634014800000,2021-10-12 05:00:00,57422.35,54.3556301007
1634018400000,2021-10-12 06:00:00,57249.44,49.9398315479
1634022000000,2021-10-12 07:00:00,57374.29,12.0959467522
1634025600000,2021-10-12 08:00:00,57501.8,22.1716024133
1634029200000,2021-10-12 09:00:00,56946.22,37.2347513321
1634032800000,2021-10-12 10:00:00,57205.3,35.0355911205
1634036400000,2021-10-12 11:00:00,57275.68,19.6632098852
1634040000000,2021-10-12 12:00:00,56893.65,50.9396789728
1634043600000,2021-10-12 13:00:00,56950.63,145.1486880344
1634047200000,2021-10-12 14:00:00,56399.12,135.9826195628
1634050800000,2021-10-12 15:00:00,56278.34,135.4062033261
1634054400000,2021-10-12 16:00:00,55881.37,104.927800362
1634058000000,2021-10-12 17:00:00,55914.92,118.0878946401
1634061600000,2021-10-12 18:00:00,55560,48.8108161634
1634065200000,2021-10-12 19:00:00,55313.02,132.6996460506
1634068800000,2021-10-12 20:00:00,55376.8,285.0413805315
1634072400000,2021-10-12 21:00:00,56067.93,65.4924668255
1634076000000,2021-10-12 22:00:00,56409.77,51.835722485
1634079600000,2021-10-12 23:00:00,56019.08,53.4033012216
1634083200000,2021-10-13 00:00:00,56466.39,54.9565471861
1634086800000,2021-10-13 01:00:00,56278.4,26.3056630425
1634090400000,2021-10-13 02:00:00,56419.78,42.045936332
1634094000000,2021-10-13 03:00:00,56289.06,16.2403421668
1634097600000,2021-10-13 04:00:00,56095.27,17.8933674832
1634101200000,2021-10-13 05:00:00,55005.53,69.3779061682
1634104800000,2021-10-13 06:00:00,55364.46,68.8379387488
1634108400000,2021-10-13 07:00:00,54649.62,32.0333877263
1634112000000,2021-10-13 08:00:00,54618.76,46.9129236718
1634115600000,2021-10-13 09:00:00,54879.32,24.4808182877
1634119200000,2021-10-13 10:00:00,54635.41,43.1217637204
1634122800000,2021-10-13 11:00:00,55215.85,30.5304722995
1634126400000,2021-10-13 12:00:00,55055.61,51.369940054
1634130000000,2021-10-13 13:00:00,54913.59,41.8110126653
1634133600000,2021-10-13 14:00:00,55797.82,127.534500173
1634137200000,2021-10-13 15:00:00,56167.12,102.3901564497
1634140800000,2021-10-13 16:00:00,56934.93,141.0378610259
1634144400000,2021-10-13 17:00:00,56878.08,77.1185749459
1634148000000,2021-10-13 18:00:00,56975,74.8906996156
1634151600000,2021-10-13 19:00:00,57286.81,75.1696914174
1634155200000,2021-10-13 20:00:00,57000.71,78.1969060522
1634158800000,2021-10-13 21:00:00,57523.42,63.9687944503
1634162400000,2021-10-13 22:00:00,57393.68,41.2740741824
1634166000000,2021-10-13 23:00:00,57382.21,35.2683420481
1634169600000,2021-10-14 00:00:00,57728.55,55.6333143111
1634173200000,2021-10-14 01:00:00,58326.74,162.3549371946
1634176800000,2021-10-14 02:00:00,58234.5,84.8194493491
1634180400000,2021-10-14 03:00:00,58073.82,28.6683613007
1634184000000,2021-10-14 04:00:00,57969.85,51.9535296965
1634187600000,2021-10-14 05:00:00,57990.65,7.8859879737
1634191200000,2021-10-14 06:00:00,57665.87,26.7923988739
1634194800000,2021-10-14 07:00:00,57376.2,25.4466844438
1634198400000,2021-10-14 08:00:00,57480.3,23.24915427
1634202000000,2021-10-14 09:00:00,57450.98,24.7814517016
1634205600000,2021-10-14 10:00:00,57666.02,13.010741492
1634209200000,2021-10-14 11:00:00,57623,29.5432551382
1634212800000,2021-10-14 12:00:00,57569.55,57.1116571531
1634216400000,2021-10-14 13:00:00,57406.38,51.3380209224
1634220000000,2021-10-14 14:00:00,57418.14,45.8825744799
1634223600000,2021-10-14 15:00:00,57341.2,82.9440940748
1634227200000,2021-10-14 16:00:00,57138.76,59.5719382923
1634230800000,2021-10-14 17:00:00,57194.2,33.0453459074
1634234400000,2021-10-14 18:00:00,58035.97,88.9353068832
1634238000000,2021-10-14 19:00:00,57875.33,122.2935462608
1634241600000,2021-10-14 20:00:00,57454.02,43.017276176
1634245200000,2021-10-14 21:00:00,57748.14,26.5427933937
1634248800000,2021-10-14 22:00:00,57609.51,15.0126923814
1634252400000,2021-10-14 23:00:00,57319,27.8447629481
1634256000000,2021-10-15 00:00:00,57035.74,12.3974481809
1634259600000,2021-10-15 01:00:00,57292.57,25.1066367478
1634263200000,2021-10-15 02:00:00,59141.03,194.0456543781
1634266800000,2021-10-15 03:00:00,59407.55,78.5581628622
1634270400000,2021-10-15 04:00:00,59592.29,84.8755600841
1634274000000,2021-10-15 05:00:00,59544.1,97.4415157539
1634277600000,2021-10-15 06:00:00,59676.58,30.1564877477
1634281200000,2021-10-15 07:00:00,59240.06,29.6712307839
1634284800000,2021-10-15 08:00:00,58943.37,79.8526515769
1634288400000,2021-10-15 09:00:00,59363.66,25.1407503016
1634292000000,2021-10-15 10:00:00,59294,40.409569875
1634295600000,2021-10-15 11:00:00,59556.71,46.4156413253
1634299200000,2021-10-15 12:00:00,59279.69,118.7126041163
1634302800000,2021-10-15 13:00:00,59935.86,206.9133360162
1634306400000,2021-10-15 14:00:00,60066.51,224.0391215644
1634310000000,2021-10-15 15:00:00,60016.9,183.6972439573
1634313600000,2021-10-15 16:00:00,61438.8,433.1255607742
1634317200000,2021-10-15 17:00:00,61739.75,195.175336417
1634320800000,2021-10-15 18:00:00,61650,145.0541568581
1634324400000,2021-10-15 19:00:00,61451.9,121.7724078597
1634328000000,2021-10-15 20:00:00,62537.09,580.1083439422
1634331600000,2021-10-15 21:00:00,61221.4,139.9020827081
1634335200000,2021-10-15 22:00:00,61308.34,62.0366665968
1634338800000,2021-10-15 23:00:00,61665.41,73.6768234082
1634342400000,2021-10-16 00:00:00,61458.95,37.2515190557
1634346000000,2021-10-16 01:00:00,61397.36,56.2609518375
1634349600000,2021-10-16 02:00:00,61655.8,25.9952678857
1634353200000,2021-10-16 03:00:00,61624.84,31.7747703621
1634356800000,2021-10-16 04:00:00,61733.67,48.3849940546
1634360400000,2021-10-16 05:00:00,62140.3,36.603144324
1634364000000,2021-10-16 06:00:00,61874.08,21.9453294293
1634367600000,2021-10-16 07:00:00,61703.88,22.1067658051
